07 25 068 248 N054.39.08.120 W006.14.06.870 N054.39.45.990 W006.11.46.240 EGAA Belfast - Aldergrove
17 35 165 345 N054.39.28.520 W006.13.43.040 N054.38.33.190 W006.13.11.960 EGAA Belfast - Aldergrove
14 32 142 322 N054.24.09.160 W007.39.26.440 N054.23.44.710 W007.38.50.870 EGAB Enniskillen/St. Angelo
22 04 220 040 N054.37.29.340 W005.51.52.140 N054.36.43.260 W005.52.47.240 EGAC Belfast City
03 21 031 211 N054.34.40.670 W005.41.42.720 N054.35.00.460 W005.41.22.110 EGAD Newtownards
08 26 076 256 N054.34.48.510 W005.41.50.080 N054.34.52.650 W005.41.19.440 EGAD Newtownards
15 33 149 329 N054.35.05.060 W005.41.32.650 N054.34.51.740 W005.41.19.150 EGAD Newtownards
08 26 076 256 N055.02.25.200 W007.10.31.540 N055.02.42.870 W007.08.50.060 EGAE Londonderry/Eglinton
15 33 148 328 N052.27.48.520 W001.45.31.430 N052.26.46.580 W001.44.22.560 EGBB Birmingham
05 23 049 229 N052.21.53.620 W001.29.18.260 N052.22.28.030 W001.28.15.430 EGBE Coventry
04 22 035 215 N051.53.19.000 W002.10.05.290 N051.53.42.810 W002.09.38.690 EGBJ Gloucestershire
09 27 084 264 N051.53.36.290 W002.10.37.480 N051.53.40.210 W002.09.39.540 EGBJ Gloucestershire
18 36 174 354 N051.53.48.390 W002.09.58.580 N051.53.22.700 W002.09.54.150 EGBJ Gloucestershire
21R 03L 204 024 N052.18.34.080 W000.47.23.530 N052.18.08.970 W000.47.42.250 EGBK Northampton/Sywell
04 22 037 217 N052.30.59.160 W002.15.59.270 N052.31.12.520 W002.15.42.940 EGBO Wolverhampton
16 34 156 336 N052.31.13.590 W002.15.42.440 N052.30.50.630 W002.15.25.550 EGBO Wolverhampton
08 26 081 261 N051.40.00.600 W002.04.07.120 N051.40.09.330 W002.02.43.970 EGBP Kemble
05 23 045 225 N052.11.14.080 W001.37.03.200 N052.11.27.340 W001.36.41.290 EGBW Wellesbourne
18 36 176 356 N052.11.17.220 W001.36.50.220 N052.11.46.670 W001.36.53.470 EGBW Wellesbourne
02 20 016 196 N053.28.12.070 W002.23.22.470 N053.28.26.130 W002.23.16.320 EGCB Manchester Barton
08L 26R 084 264 N053.28.17.130 W002.23.43.350 N053.28.19.730 W002.23.08.860 EGCB Manchester Barton
08R 26L 084 264 N053.28.16.400 W002.23.39.810 N053.28.18.920 W002.23.06.160 EGCB Manchester Barton
14 32 135 315 N053.28.25.190 W002.23.20.420 N053.28.16.220 W002.23.04.950 EGCB Manchester Barton
05L 23R 052 232 N053.20.51.200 W002.17.15.950 N053.21.40.750 W002.15.33.410 EGCC Manchester
05R 23L 051 231 N053.19.55.100 W002.18.38.380 N053.20.53.350 W002.16.37.950 EGCC Manchester
02 20 018 198 N053.27.51.110 W001.00.36.170 N053.29.10.940 W000.59.53.580 EGCN Doncaster Sheffield
06 24 065 245 N050.05.06.810 W005.15.48.290 N050.05.22.120 W005.15.01.560 EGDR Culdrose
11 29 115 295 N050.05.18.910 W005.15.57.070 N050.04.55.930 W005.14.32.250 EGDR Culdrose
18 36 180 000 N050.05.24.000 W005.15.06.530 N050.04.49.940 W005.15.05.120 EGDR Culdrose
04 22 038 218 N051.00.13.200 W002.38.39.020 N051.00.51.010 W002.37.53.790 EGDY Yeovilton
08 26 084 264 N051.00.25.290 W002.39.42.150 N051.00.34.230 W002.37.45.400 EGDY Yeovilton
01 19 005 185 N056.27.32.990 W005.24.02.410 N056.28.03.300 W005.23.57.060 EGEO Oban
02 20 012 192 N060.11.20.230 W001.14.42.000 N060.11.43.360 W001.14.31.110 EGET Lerwick/Tingwall
12 30 118 298 N051.24.01.720 W003.21.20.170 N051.23.32.830 W003.19.48.640 EGFF Cardiff
04 22 037 217 N051.36.01.130 W004.04.25.260 N051.36.33.980 W004.03.46.490 EGFH Swansea
10 28 097 277 N051.36.04.220 W004.04.32.850 N051.36.01.390 W004.03.51.840 EGFH Swansea
09 27 087 267 N051.22.55.590 W002.44.00.610 N051.22.59.370 W002.42.23.500 EGGD Bristol
09 27 087 267 N053.19.58.390 W002.51.57.610 N053.20.03.900 W002.49.57.760 EGGP Liverpool
07 25 074 254 N051.52.19.250 W000.23.00.910 N051.52.37.360 W000.21.16.150 EGGW London Luton
02 20 021 201 N050.06.04.050 W005.40.27.360 N050.06.17.610 W005.40.19.840 EGHC Land's End
07 25 066 246 N050.06.05.280 W005.40.43.040 N050.06.13.980 W005.40.14.370 EGHC Land's End
11 29 114 294 N050.06.09.000 W005.40.28.280 N050.06.03.760 W005.40.08.850 EGHC Land's End
16 34 159 339 N050.06.18.480 W005.40.19.520 N050.05.57.940 W005.40.06.770 EGHC Land's End
09 27 089 269 N049.54.47.800 W006.17.43.440 N049.54.48.620 W006.17.18.360 EGHE Scilly Isles/St Mary's
14 32 142 322 N049.54.55.210 W006.17.40.140 N049.54.40.450 W006.17.20.540 EGHE Scilly Isles/St Mary's
05 23 045 225 N050.48.46.360 W001.12.39.900 N050.49.09.750 W001.12.02.700 EGHF Lee-on-Solent
09 27 092 272 N050.56.24.720 W002.39.58.430 N050.56.23.640 W002.39.05.280 EGHG Yeovil/Westland
08 26 075 255 N050.46.42.480 W001.51.07.760 N050.46.57.580 W001.49.36.880 EGHH Bournemouth
02 20 021 201 N050.56.36.860 W001.21.37.900 N050.57.25.870 W001.21.10.600 EGHI Southampton
07 25 067 247 N051.12.35.600 W001.36.06.890 N051.12.45.230 W001.35.30.890 EGHO Thruxton
12 30 123 303 N051.12.43.210 W001.36.13.490 N051.12.29.890 W001.35.40.640 EGHO Thruxton
12 30 122 302 N050.26.49.340 W005.00.43.250 N050.26.09.170 W004.58.56.560 EGHQ Newquay
06 24 057 237 N050.51.32.240 W000.45.45.590 N050.51.44.870 W000.45.14.940 EGHR Chichester/Goodwood
10 28 103 283 N050.51.46.620 W000.45.48.150 N050.51.41.510 W000.45.13.280 EGHR Chichester/Goodwood
14 32 139 319 N050.51.45.640 W000.45.50.100 N050.51.21.900 W000.45.17.750 EGHR Chichester/Goodwood
08 26 080 260 N049.42.21.580 W002.13.14.980 N049.42.26.780 W002.12.31.920 EGJA Alderney
09 27 088 268 N049.26.04.660 W002.36.43.330 N049.26.06.670 W002.35.30.780 EGJB Guernsey
08 26 083 263 N049.12.25.440 W002.12.21.940 N049.12.31.800 W002.11.05.660 EGJJ Jersey
02 20 021 201 N050.49.57.900 W000.17.56.610 N050.50.20.680 W000.17.42.360 EGKA Shoreham
02G 20G 021 201 N050.50.02.000 W000.17.51.160 N050.50.20.150 W000.17.39.860 EGKA Shoreham
06 24 063 243 N050.50.00.710 W000.17.51.640 N050.50.09.350 W000.17.24.280 EGKA Shoreham
13 31 124 304 N050.50.18.020 W000.17.40.280 N050.50.10.440 W000.17.23.070 EGKA Shoreham
03 21 025 205 N051.19.32.440 E000.01.42.180 N051.20.17.720 E000.02.16.980 EGKB Biggin Hill
08L 26R 077 257 N051.08.51.040 W000.12.29.180 N051.09.03.690 W000.10.57.400 EGKK Gatwick
08R 26L 077 257 N051.08.45.100 W000.12.24.590 N051.09.02.430 W000.10.18.930 EGKK Gatwick
08L 26R 074 254 N051.12.48.830 W000.08.35.690 N051.12.54.760 W000.08.01.790 EGKR Redhill
08R 26L 074 254 N051.12.45.060 W000.08.41.490 N051.12.52.760 W000.07.56.940 EGKR Redhill
18 36 180 000 N051.13.03.350 W000.08.26.400 N051.12.40.720 W000.08.27.040 EGKR Redhill
09 27 093 273 N051.30.19.900 E000.02.44.730 N051.30.17.730 E000.03.53.840 EGLC London City
06 24 062 242 N051.16.22.190 W000.47.06.760 N051.16.41.360 W000.46.09.220 EGLF Farnborough
07 25 071 251 N051.19.21.170 W000.51.16.680 N051.19.31.400 W000.50.27.640 EGLK Blackbushe
09L 27R 089 269 N051.28.39.000 W000.29.05.970 N051.28.39.630 W000.25.59.820 EGLL London Heathrow
