ACRO,19.58,17.5
ACR2,21.67,18.85
COUG,20.5,18.92
JACE,26.5,18
SACE,27.29,18.5
A500,44,37.5
A700,44,40.75
G222,94.17,74.46
LA60,38.83,28
AM3,38.5,28.67
L90,39.33,28
M346,31.89,37.69
M308,32.83,21.42
M326,34.67,34.94
M339,35.63,36
F260,26.98,23
AB11,35.17,23.85
AB15,35.17,23.83
AB18,35.38,23.23
AB95,34.19,22.63
JCOM,44.79,55.58
AC50,51.71,36.81
AC52,49.04,36.81
AC56,51.71,36.81
AC80,46.55,44.35
AC6L,44.08,43
AC90,52.12,42.98
AC95,52.12,42.98
CLB1,34.75,24
SGUP,156.25,143.83
AE45,46.21,25.5
L159,31.29,41.73
L29,33.75,35.46
L39,31.04,39.79
L59,31.29,40.02
L60,45.79,28
AR11,36,20.83
AR15,37.5,25.25
CH7A,35,21.5
N262,71.83,63.25
S601,42.21,45.38
S210,112.5,101.7
AT3P,45,27
AT3T,51.08,30.58
AT5T,52,33.17
AT6T,56,33.5
AT8T,59.25,36
A30B,147.08,175.5
A306,147.14,177.43
A310,144.03,153.16
A318,111.88,103.18
A319,117.45,111.02
A320,117.45,123.27
A321,117.45,146.03
A332,197.83,193.57
A333,197.83,208.99
A342,197.83,194.95
A343,197.83,208.96
A345,208.17,222.87
A346,208.17,247.24
A35K,212.42,242.09
A359,212.42,219.16
A388,261.65,238.62
A38F,261.65,238.62
AA1,24.42,19.25
AA5,31.42,22
CH7B,34.5,22.08
BL8,36.17,23
AN72,104.63,92.1
AT43,80.58,74.42
AT44,80.58,74.42
AT45,80.58,74.42
AT72,88.75,89.13
NOMA,54.17,41.17
DC3T,95.17,67.75
AIRD,36.33,26.33
AUS6,36,23.25
PUP,31,23.17
BASS,55,33.67
D4,36,23.33
D5,36,23.17
BDOG,33,23.17
B190,57.75,57.67
BE55,37.83,28
BE56,37.83,28
BE58,37.83,29.83
PRM1,44.5,46
BE40,43.5,48.42
BE33,33.5,26.67
BE35,33.5,25.08
BE36,33.5,27.5
BE10,45.92,39.92
BE20,57.92,46.67
BE30,57.92,46.67
B350,57.92,46.67
BE9L,53.67,35.5
BE9T,54.5,35.5
BE18,49.67,35.25
B18T,46,44.25
BE60,39.25,33.83
BE65,45.88,35.5
BE70,50.25,35.5
BE80,50.25,35.5
BE88,50.25,35.5
T34P,33.32,28.71
BL17,34.17,26.33
B703,145.75,152.92
B712,93.33,124
B720,130.83,136.75
B721,108,133.17
B722,109.25,153.17
B731,93,94
B732,93,100.17
B733,102.08,109.58
B734,94.75,119.58
B735,94.75,101.75
B736,117.42,102.5
B737,117.42,110.33
B738,117.83,129.5
B739,117.83,138.17
B741,195.67,231.83
B742,195.67,231.83
B743,195.67,231.83
B744,213,231.85
B748,224.42,250.17
B74S,195.67,184.75
B752,134.75,155.25
B753,134.75,178.58
B762,156.08,159.17
B763,167,180.25
B764,170.33,201.33
B772,212.58,209.08
B773,212.58,209.08
B77W,212.58,242.33
B78X,197.25,224.08
B788,197.25,186.08
B789,197.25,206.08
DC3,95.17,64.67
DC95,89.4,104.4
DC92,93.3,104.4
DC93,93.3,119.3
MD82,107.85,147.83
MD83,107.85,147.83
MD88,107.85,147.83
MD90,107.83,152.58
CL30,69,68.75
CL60,64.33,68.42
CRJ2,68.67,87.83
CRJ7,76.27,106.57
GL5T,94,96.83
GLEX,94,99.42
LJ24,35.58,43.25
LJ25,35.58,47.58
LJ31,43.83,48.67
LJ35,39.5,48.67
LJ40,47.78,55.56
LJ45,47.83,58
LJ55,43.83,55.08
LJ60,43.75,58.67
LJ75,50.92,58
DHC6,65,51.75
DHC7,93,80.5
DH8A,85,73
DH8B,85,73
DH8C,90,84.25
DH8D,93.25,107.75
ATLA,122.77,103.75
RJ1H,86.42,101.67
RJ70,86.42,85.92
RJ85,86.42,93.67
B461,86.42,85.92
B462,86.42,93.67
B463,86.42,101.67
JS41,60,18.83
BA11,93.5,93.5
TRIS,53,49.25
BN2T,49,36
BU81,34.71,25.7
TNAV,34.67,28
BU31,24.25,21.67
BU33,21.65,19.69
H111,73.8,53.3
C170,36,24.96
C120,33.33,21.5
C140,33.33,21.5
C150,33.17,23.92
C152,33.17,24.08
C162,30,22.8
C172,36.08,27.17
C72R,36.08,27.17
C175,36.17,25
C177,35.5,27.25
C77R,35.5,27.25
C180,35.83,25.63
C182,36,29
C82R,36,29
C185,35.83,25.63
C188,41.67,26.25
C190,36.17,27.33
C195,36.17,27.33
C205,36.17,27.33
C06T,36,28.25
C206,36,28.25
C207,36.17,27.33
C07T,36.17,27.33
C208,52.08,37.58
C210,36.75,28.25
P210,36.75,28.25
C10T,36.75,28.25
C303,39.04,30.42
C310,36.92,32
A37,35.86,28.28
C337,38,29.75
C340,38.11,43.33
COL3,36.08,25.17
COL4,36.08,25.17
C402,44.17,36.42
C02T,44.17,36.42
C404,46.33,39.52
C411,39.85,33.5
C414,44.17,36.42
C421,44.17,36.42
C425,44.17,35.83
C441,49.33,39
C525,46.92,42.58
C25A,49.83,47.67
C25B,53.33,51.17
C25C,50.83,53.33
