airline_icao,stand_identifier,destination,not_before
AAL,532,KDFW,
AAL,532,KJFK,
AAL,532,KLAX,
AAL,532,KMIA,
AAL,533,KDFW,
AAL,533,KJFK,
AAL,533,KLAX,
AAL,533,KMIA,
AAL,534,KDFW,
AAL,534,KJFK,
AAL,534,KLAX,
AAL,534,KMIA,
AAL,535,KDFW,
AAL,535,KJFK,
AAL,535,KLAX,
AAL,535,KMIA,
AAL,536,KDFW,
AAL,536,KJFK,
AAL,536,KLAX,
AAL,536,KMIA,
AAL,537,KDFW,
AAL,537,KJFK,
AAL,537,KLAX,
AAL,537,KMIA,
AAL,538,KDFW,
AAL,538,KJFK,
AAL,538,KLAX,
AAL,538,KMIA,
AAL,539,KDFW,
AAL,539,KJFK,
AAL,539,KLAX,
AAL,539,KMIA,
AAL,547,KDFW,
AAL,547,KJFK,
AAL,547,KLAX,
AAL,547,KMIA,
AAL,548,KDFW,
AAL,548,KJFK,
AAL,548,KLAX,
AAL,548,KMIA,
AAR,233,,
ACA,237,,
ACA,238,,
ACA,239,,
ACA,241,,
ACA,242,,
ACA,243,,
ACA,244,,
AEE,216,,
AEE,217,,
AEE,218R,,
AEE,224,,
AFL,231,,
AFL,232,,
AFL,233,,
AFL,237,,
AFL,238,,
AFL,239,,
AFL,242,,
AFL,243,,
AFL,244,,
AFL,246,,
AFL,247,,
AFL,249,,
AFR,303L,,
AFR,303R,,
AFR,305L,,
AFR,305R,,
AFR,309,,
AFR,311,,
AFR,323,,
AFR,325,,
AFR,327,,
AFR,329,,
AHY,231,,
AHY,232,,
AHY,233,,
AHY,237,,
AHY,238,,
AHY,239,,
AHY,242,,
AHY,243,,
AHY,244,,
AHY,246,,
AHY,247,,
AHY,249,,
AIC,243,,
AIC,244,,
AIC,246,,
ALK,325,,
ALK,327,,
AMC,223,,
AMC,224,,
AMC,225,,
AMC,226,,
ANA,246,,
ANA,247,,
ASL,219,,
ASL,223,,
AUA,216,,
AUA,217,,
AUA,218,,
AUA,218L,,
AUA,218R,,
AUA,220,,
AVA,239,,
BBC,326,,
BBC,329,,
BBC,331,,
BEL,219,,
BEL,220,,
BEL,223,,
BEL,224,,
BEL,225,,
BEL,226,,
BEE,253,,
BEE,253L,,
BEE,253R,,
BLA,217,,
BLA,218,,
BLA,218L,,
BLA,218R,,
BLA,223,,
BLA,224,,
BLA,225,,
BLA,226,,
CCA,211,,
CCA,212,,
CCA,213,,
CES,407,,
CES,409,,
CHH,213,,
CHH,254,,
CHH,257,,
CPA,305,,
CPA,340,,
CPA,342,,
CSN,408,,
CSN,409,,
CTN,217,,
CTN,219,,
DAL,326,,
DAL,328,,
DAL,329,,
DAL,331,,
DAL,332,,
DAL,334,,
DAL,342,,
DLH,216,,
DLH,217,,
DLH,218R,,
DLH,223,,
DLH,224,,
DLH,225,,
DLH,226,,
EIN,221L,,
EIN,221R,,
EIN,223,,
ELY,238,,
ETD,325,,
ETD,326,,
ETD,327,,
ETD,328,,
ETD,331,,
ETD,332,,
ETD,334,,
ETD,335,,
ETD,336,,
ETH,244,,
ETH,246,,
ETH,249,,
EVA,252,,
EVA,253,,
EWG,218R,,
EWG,219,,
EWG,220,,
EWG,223,,
EWG,224,,
EWG,225,,
EWG,226,,
FIN,309,,
FIN,311,,
FIN,323,,
FIN,325,,
FIN,327,,
FIN,329,,
FIN,331,,
GFA,241,,
GFA,247,,
GFA,248,,
ICE,218,,
ICE,237,,
ICE,238,,
ICE,239,,
ICE,241,,
IRA,325,,
IRA,326,,
IRA,327,,
IRA,328,,
IRA,329,,
IRA,330,,
IRA,331,,
ITY,219,,
ITY,220,,
ITY,223,,
ITY,224,,
ITY,225,,
ITY,226,,
JAL,303,,
JAL,327,,
JAL,331,,
JBU,239,,
JBU,241,,
KAC,244,,
KAC,247,,
KAC,249,,
KAL,327,,
KLM,303L,,
KLM,303R,,
KLM,305L,,
KLM,305R,,
KLM,309,,
KLM,311,,
KLM,323,,
KLM,325,,
KLM,327,,
KLM,329,,
KQA,326,,
KQA,327,,
KQA,328,,
KQA,329,,
KQA,332,,
KQA,364,,
LOG,224,,
LOG,225,,
LOT,216,,
LOT,217,,
LOT,223,,
